row id,Consignment_ID,Packet_ID,Part_ID,Total_Parts,total part_Weight (in kgs),Packet_Cost (in INR),Shipment_DateTime
1,CN_19520_1,7703851,6746,36,3.214789609,510.9532618,6/12/2023 14:25
2,CN_19520_1,7703851,62555,37,6.764561324,510.9532618,6/11/2023 15:33
3,CN_19520_1,7703851,46435,17,6.347278184,510.9532618,6/12/2023 8:29
4,CN_19520_1,7703851,67150,26,7.826135838,510.9532618,6/12/2023 10:14
5,CN_19520_1,7703851,15180,24,4.730917022,510.9532618,6/12/2023 5:29
6,CN_19520_1,7087879,82967,36,1.4124805,224.9254571,6/12/2023 4:48
7,CN_19520_1,7087879,7989,36,2.858782507,224.9254571,6/12/2023 12:22
8,CN_19520_1,7087879,58658,38,6.986036752,224.9254571,6/12/2023 13:09
9,CN_19520_1,7087879,83519,22,5.036647073,224.9254571,6/11/2023 19:59
10,CN_19520_1,7087879,52059,34,7.790276428,224.9254571,6/12/2023 0:19
11,CN_19520_1,7087879,41,35,4.41834884,224.9254571,6/12/2023 0:43
12,CN_19520_1,7087879,72820,39,7.012500287,224.9254571,6/12/2023 5:24
13,CN_19520_1,7087879,72278,31,9.86461282,224.9254571,6/11/2023 17:59
14,CN_19520_1,7087879,77009,43,3.883359182,224.9254571,6/12/2023 10:55
15,CN_19520_1,7087879,6134,34,3.995411863,224.9254571,6/12/2023 3:42
16,CN_19520_1,5798816,26915,49,9.417698229,901.3151999,6/12/2023 8:11
17,CN_19520_1,5798816,9326,39,9.586821147,901.3151999,6/12/2023 1:22
18,CN_19520_1,5798816,85703,12,4.325399793,901.3151999,6/11/2023 15:48
19,CN_19520_1,5798816,71503,30,7.210063914,901.3151999,6/12/2023 0:33
20,CN_19520_1,5798816,44106,43,8.076533965,901.3151999,6/11/2023 15:54
21,CN_19520_1,5798816,20428,29,1.094204006,901.3151999,6/12/2023 11:00
22,CN_19520_1,5798816,80686,44,3.211513102,901.3151999,6/11/2023 21:51
23,CN_19520_1,5798816,32606,24,3.218040947,901.3151999,6/12/2023 12:45
24,CN_19520_1,5798816,37483,16,5.002912018,901.3151999,6/12/2023 10:11
25,CN_19520_1,5798816,23194,47,4.37242561,901.3151999,6/12/2023 6:53
26,CN_19520_2,4534032,24395,45,8.872141086,877.2797003,6/12/2023 1:27
27,CN_19520_2,4534032,86013,28,3.385160255,877.2797003,6/12/2023 1:09
28,CN_19520_2,4534032,82906,18,9.218694007,877.2797003,6/11/2023 17:46
29,CN_19520_2,4534032,86605,28,6.579939792,877.2797003,6/11/2023 16:55
30,CN_19520_2,4534032,26663,13,2.371119552,877.2797003,6/12/2023 1:40
31,CN_19520_2,4534032,99289,25,8.922218871,877.2797003,6/12/2023 6:41
32,CN_19520_2,1276776,92337,29,9.649943143,327.6684357,6/11/2023 21:56
33,CN_19520_2,1276776,3464,30,6.042279373,327.6684357,6/11/2023 22:40
34,CN_19520_2,1276776,40525,15,1.526306397,327.6684357,6/12/2023 9:10
35,CN_19520_2,1276776,78496,45,8.230766878,327.6684357,6/12/2023 2:18
36,CN_19520_2,1276776,76789,25,3.806827721,327.6684357,6/11/2023 22:02
37,CN_19520_2,2160680,34805,18,2.512547295,970.6585336,6/12/2023 5:43
38,CN_19520_2,2160680,88299,42,5.525317411,970.6585336,6/11/2023 18:31
39,CN_19520_2,2160680,4723,19,7.933006668,970.6585336,6/11/2023 21:47
40,CN_19520_2,2160680,30571,20,6.839363119,970.6585336,6/11/2023 21:13
41,CN_19520_2,2160680,91527,34,1.521627045,970.6585336,6/12/2023 5:55
42,CN_19520_2,2160680,80340,33,3.679676044,970.6585336,6/12/2023 13:00
43,CN_19520_2,2160680,57701,32,8.349452988,970.6585336,6/11/2023 15:51
44,CN_19520_2,2160680,72027,10,8.061177399,970.6585336,6/12/2023 15:12
45,CN_19520_2,2160680,47802,26,5.32819747,970.6585336,6/12/2023 11:40
46,CN_19520_2,2160680,29653,16,4.506284004,970.6585336,6/12/2023 4:16
47,CN_19520_3,2644692,88735,38,8.683870364,822.5310456,6/12/2023 8:19
48,CN_19520_3,2644692,46137,29,1.303549957,822.5310456,6/11/2023 15:26
49,CN_19520_3,2644692,87713,11,6.555117427,822.5310456,6/12/2023 8:33
50,CN_19520_3,7634457,64085,27,5.734266941,727.6363896,6/12/2023 10:01
51,CN_19520_3,7634457,89799,50,3.063203563,727.6363896,6/12/2023 0:28
52,CN_19520_3,7634457,63405,37,2.467632963,727.6363896,6/12/2023 0:30
53,CN_19520_3,7634457,21191,29,2.294353393,727.6363896,6/12/2023 10:48
54,CN_19520_3,7634457,20193,11,8.055518309,727.6363896,6/12/2023 10:47
55,CN_19520_3,7634457,26648,12,8.798349832,727.6363896,6/12/2023 4:30
56,CN_19520_3,7634457,63167,21,2.879887137,727.6363896,6/12/2023 8:01
57,CN_19520_3,7634457,89962,47,9.225959047,727.6363896,6/12/2023 10:58
58,CN_19520_4,2313179,15703,12,1.909526447,753.3847242,6/12/2023 12:35
59,CN_19520_4,2313179,59331,18,4.559039732,753.3847242,6/12/2023 4:37
60,CN_19520_4,2313179,70943,39,7.127087961,753.3847242,6/12/2023 7:49
61,CN_19520_4,2313179,79638,50,9.555591376,753.3847242,6/12/2023 7:42
62,CN_19520_4,8128299,58401,28,3.726144238,592.7135212,6/12/2023 6:06
63,CN_19520_4,8128299,56529,21,3.965926721,592.7135212,6/11/2023 15:30
64,CN_19520_4,8128299,97455,12,3.546935837,592.7135212,6/12/2023 1:24
65,CN_19520_4,8128299,76384,26,7.377167235,592.7135212,6/11/2023 21:10
66,CN_19520_4,8128299,89002,41,5.714403415,592.7135212,6/12/2023 7:01
67,CN_19520_4,8128299,69350,29,9.010701219,592.7135212,6/11/2023 19:56
68,CN_19520_4,6105001,30410,26,6.264429016,212.2678797,6/12/2023 8:55
69,CN_19520_4,6105001,53873,11,6.961469559,212.2678797,6/12/2023 4:45
70,CN_19520_4,6105001,31,39,7.343850211,212.2678797,6/12/2023 10:15
71,CN_19520_4,6105001,85706,25,9.394129711,212.2678797,6/12/2023 12:38
72,CN_19520_4,6105001,4620,37,1.782461511,212.2678797,6/11/2023 15:35
73,CN_19520_4,6105001,68783,15,4.297973005,212.2678797,6/12/2023 8:32
74,CN_19520_4,6105001,89487,28,5.824483486,212.2678797,6/12/2023 3:19
75,CN_19520_4,6105001,87905,42,8.740961615,212.2678797,6/12/2023 5:55
76,CN_19520_4,6105001,76792,19,8.335733456,212.2678797,6/12/2023 8:12
77,CN_19520_5,3802761,48434,15,8.463257411,990.1704437,6/12/2023 2:34
78,CN_19520_5,3802761,52491,15,3.491695652,990.1704437,6/11/2023 21:21
79,CN_19520_5,3802761,5339,41,4.466562441,990.1704437,6/12/2023 7:33
80,CN_19520_5,3802761,37316,33,5.767426823,990.1704437,6/12/2023 1:20
81,CN_19520_5,3802761,66596,39,4.557283853,990.1704437,6/11/2023 19:55
82,CN_19520_5,3802761,93289,34,7.381341131,990.1704437,6/12/2023 5:30
83,CN_19520_5,3802761,57585,33,8.686899798,990.1704437,6/12/2023 6:35
84,CN_19520_5,3802761,75455,46,7.000346421,990.1704437,6/11/2023 15:58
85,CN_19520_5,3802761,34511,25,9.721349773,990.1704437,6/12/2023 12:32
86,CN_19520_5,2381415,52523,39,3.978980458,904.9011629,6/12/2023 6:26
87,CN_19520_5,2381415,6333,43,9.937403023,904.9011629,6/12/2023 1:24
88,CN_19520_5,2381415,64174,23,9.130607962,904.9011629,6/11/2023 18:39
89,CN_19520_5,2381415,90232,17,4.279699735,904.9011629,6/12/2023 8:51
90,CN_19520_5,2381415,23751,32,8.603511619,904.9011629,6/12/2023 4:26
91,CN_19520_5,2381415,72357,26,9.58556123,904.9011629,6/11/2023 21:22
92,CN_19520_5,2381415,92916,15,8.18941202,904.9011629,6/11/2023 18:06
93,CN_19520_5,2381415,71456,44,1.768406116,904.9011629,6/12/2023 8:12
94,CN_19520_5,2381415,31179,29,8.71702682,904.9011629,6/11/2023 17:36
95,CN_19520_5,2381415,98495,19,7.414178995,904.9011629,6/12/2023 9:46
96,CN_19520_5,3207047,66852,32,3.547021115,241.4510426,6/12/2023 5:20
97,CN_19520_5,3207047,95645,32,7.432793295,241.4510426,6/11/2023 19:28
98,CN_19520_5,3207047,99768,12,5.856048226,241.4510426,6/12/2023 12:03
99,CN_19520_5,3207047,71848,29,8.604401859,241.4510426,6/12/2023 9:11
100,CN_19520_5,3207047,56519,49,6.686099845,241.4510426,6/12/2023 2:18
101,CN_19520_5,3207047,12182,25,6.676962387,241.4510426,6/12/2023 2:55
102,CN_19520_5,3207047,47800,42,4.460109541,241.4510426,6/12/2023 15:15
103,CN_19520_5,3906462,92859,32,3.842315102,780.5830162,6/11/2023 20:07
104,CN_19520_5,3906462,21128,24,9.929535574,780.5830162,6/12/2023 11:52
105,CN_19520_5,3906462,34599,42,1.620393371,780.5830162,6/11/2023 22:44
106,CN_19520_5,3906462,83740,35,2.434919321,780.5830162,6/12/2023 13:42
107,CN_19520_5,3906462,32102,19,8.995344267,780.5830162,6/12/2023 14:32
108,CN_19520_5,3906462,33672,10,6.178921029,780.5830162,6/12/2023 3:51
109,CN_19520_6,9154266,16436,42,4.66542361,688.0850384,6/12/2023 0:10
110,CN_19520_6,9154266,82497,18,1.139299021,688.0850384,6/11/2023 23:43
111,CN_19520_6,9154266,30237,29,1.168913955,688.0850384,6/12/2023 8:37
112,CN_19520_6,9154266,79917,21,8.210338625,688.0850384,6/12/2023 5:38
113,CN_19520_6,9154266,18388,19,3.33320357,688.0850384,6/12/2023 4:07
114,CN_19520_6,9154266,7948,17,3.365166738,688.0850384,6/11/2023 16:10
115,CN_19520_6,9154266,31315,48,7.2559472,688.0850384,6/12/2023 6:42
116,CN_19520_6,9154266,50810,44,3.655083441,688.0850384,6/12/2023 12:24
117,CN_19520_6,9154266,20400,17,9.91930887,688.0850384,6/11/2023 21:35
118,CN_19520_6,9154266,95104,46,1.036962464,688.0850384,6/11/2023 20:54
119,CN_19520_6,8763529,6373,43,7.627006262,699.8551455,6/12/2023 0:43
120,CN_19520_6,8763529,81018,20,3.93609832,699.8551455,6/11/2023 21:59
121,CN_19520_6,8763529,28577,48,2.081633389,699.8551455,6/12/2023 13:37
122,CN_19520_6,8763529,27817,34,6.826979293,699.8551455,6/12/2023 4:10
123,CN_19520_6,8763529,17749,14,2.028288432,699.8551455,6/12/2023 3:14
124,CN_19520_7,76662,45430,17,6.686651578,785.7867908,6/12/2023 12:51
125,CN_19520_7,76662,44261,20,7.708076581,785.7867908,6/11/2023 16:48
126,CN_19520_7,76662,19512,24,6.090889091,785.7867908,6/11/2023 21:16
127,CN_19520_7,76662,49753,45,4.428133301,785.7867908,6/12/2023 14:12
128,CN_19520_7,76662,43800,47,7.864755304,785.7867908,6/11/2023 17:44
129,CN_19520_7,660042,20568,41,6.320743813,103.5067088,6/12/2023 2:40
130,CN_19520_7,660042,86479,40,8.709372703,103.5067088,6/11/2023 22:40
131,CN_19520_7,660042,22808,44,8.064384007,103.5067088,6/11/2023 18:08
132,CN_19520_7,660042,56998,26,9.783007241,103.5067088,6/12/2023 3:39
133,CN_19520_7,660042,27365,19,2.456282892,103.5067088,6/12/2023 5:41
134,CN_19520_7,660042,92751,32,6.042524837,103.5067088,6/12/2023 11:41
